disease,symptoms
"Anemia, sickle cell, also known asSickle cell anemia","Anemia. Sickle cells break apart easily and die. Red blood cells usually live for about 120 days before they need to be replaced. But sickle cells typically die in 10 to 20 days, leaving a shortage of red blood cells (anemia). Without enough red blood cells, the body can't get enough oxygen and this causes fatigue., Episodes of pain. Periodic episodes of extreme pain, called pain crises, are a major symptom of sickle cell anemia. Pain develops when sickle-shaped red blood cells block blood flow through tiny blood vessels to your chest, abdomen and joints.
The pain varies in intensity and can last for a few hours to a few days. Some people have only a few pain crises a year. Others have a dozen or more a year. A severe pain crisis requires a hospital stay.
Some adolescents and adults with sickle cell anemia also have chronic pain, which can result from bone and joint damage, ulcers, and other causes., Swelling of hands and feet. The swelling is caused by sickle-shaped red blood cells blocking blood circulation in the hands and feet., Frequent infections. Sickle cells can damage the spleen, increasing vulnerability to infections. Infants and children with sickle cell anemia commonly receive vaccinations and antibiotics to prevent potentially life-threatening infections, such as pneumonia., Delayed growth or puberty. Red blood cells provide the body with the oxygen and nutrients needed for growth. A shortage of healthy red blood cells can slow growth in infants and children and delay puberty in teenagers., Vision problems. Tiny blood vessels that supply the eyes can become plugged with sickle cells. This can damage the retina — the portion of the eye that processes visual images — and lead to vision problems."
"Anemia, vitamin deficiency, also known asVitamin deficiency anemia","Fatigue, Shortness of breath, Dizziness, Pale or yellowish skin, Irregular heartbeats, Weight loss, Numbness or tingling in the hands and feet, Muscle weakness, Personality changes, Unsteady movements, Mental confusion or forgetfulness"
"Aneurysm, abdominal aortic, also known asAbdominal aortic aneurysm","Deep, constant pain in the belly area or side of the belly (abdomen), Back pain, A pulse near the bellybutton"
"Aneurysm, brain, also known asBrain aneurysm","Nausea and vomiting, Stiff neck, Blurred or double vision, Sensitivity to light, Seizure, A drooping eyelid, Loss of consciousness, Confusion"
"Aneurysm, cerebral, also known asBrain aneurysm","Nausea and vomiting, Stiff neck, Blurred or double vision, Sensitivity to light, Seizure, A drooping eyelid, Loss of consciousness, Confusion"
"Aneurysm, popliteal, also known asPopliteal artery aneurysm","Knee pain, Lower leg pain, Swelling behind the knee, Pulsing sensation behind the knee"
"Aneurysm, thoracic aortic, also known asThoracic aortic aneurysm","Back pain, Cough, Weak, scratchy voice (hoarseness), Shortness of breath, Tenderness or pain in the chest"
Angelman syndrome,"Developmental delays, including no crawling or babbling at 6 to 12 months, Intellectual disability, No speech or minimal speech, Difficulty walking, moving or balancing well, Frequent smiling and laughter, Happy, excitable personality, Sucking or feeding difficulty, Trouble going to sleep and staying asleep"
"Angiitis, also known asVasculitis","Fever, Headache, Fatigue, Weight loss, General aches and pains"
Angina,"Burning, Fullness, Pressure, Squeezing"
"Angina pectoris, also known asAngina","Burning, Fullness, Pressure, Squeezing"
"Angioedema and hives, also known asHives and angioedema","Skin-colored, reddish on white skin, or purplish on black and brown skin, Itchy, ranging from mild to intense, Round, oval or worm-shaped, As small as a pea or as large as a dinner plate"
"Angiofollicular lymph node hyperplasia, also known asCastleman disease","Fever., Unintended weight loss., Fatigue., Night sweats., Enlarged liver or spleen."
Angiosarcoma,"A raised area of skin that looks like a bruise, A bruise-like lesion that grows larger over time, A lesion that may bleed when scratched or bumped, Swelling in the skin around the lesion"
"Ankle fracture, also known asBroken ankle","Immediate, throbbing pain, Swelling, Bruising, Tenderness, Deformity, Difficulty or pain with walking or bearing weight"
"Ankle sprain, also known asSprained ankle","Pain, especially when you bear weight on the affected foot, Tenderness when you touch the ankle, Swelling, Bruising, Restricted range of motion, Instability in the ankle, Popping sensation or sound at the time of injury"
"Ankyloglossia, also known asTongue-tie (ankyloglossia)","Difficulty lifting the tongue to the upper teeth or moving the tongue from side to side, Trouble sticking out the tongue past the lower front teeth, A tongue that appears notched or heart shaped when stuck out"
Ankylosing spondylitis,"The joint between the base of the spine and the pelvis., The vertebrae in the lower back., The places where tendons and ligaments attach to bones, mainly in the spine, but sometimes along the back of the heel., The cartilage between the breastbone and the ribs., The hip and shoulder joints."
"Anorexia, also known asAnorexia nervosa","Extreme weight loss or not making expected developmental weight gains, Thin appearance, Abnormal blood counts, Fatigue, Insomnia, Dizziness or fainting, Bluish discoloration of the fingers, Hair that thins, breaks or falls out, Soft, downy hair covering the body, Absence of menstruation, Constipation and abdominal pain, Dry or yellowish skin, Intolerance of cold, Irregular heart rhythms, Low blood pressure, Dehydration, Swelling of arms or legs, Eroded teeth and calluses on the knuckles from induced vomiting"
Anorexia nervosa,"Extreme weight loss or not making expected developmental weight gains, Thin appearance, Abnormal blood counts, Fatigue, Insomnia, Dizziness or fainting, Bluish discoloration of the fingers, Hair that thins, breaks or falls out, Soft, downy hair covering the body, Absence of menstruation, Constipation and abdominal pain, Dry or yellowish skin, Intolerance of cold, Irregular heart rhythms, Low blood pressure, Dehydration, Swelling of arms or legs, Eroded teeth and calluses on the knuckles from induced vomiting"
Anorgasmia in women,"Delayed orgasm, Absence of orgasm, Fewer orgasms, Less-intense orgasms"
"Anterior cruciate ligament injury, also known asACL injury","A loud pop or a ""popping"" sensation in the knee, Severe pain and inability to continue activity, Rapid swelling, Loss of range of motion, A feeling of instability or ""giving way"" with weight bearing"
"Anterior vaginal prolapse, also known asAnterior vaginal prolapse (cystocele)","A feeling of fullness or pressure in your pelvis and vagina, In some cases, a bulge of tissue in your vagina that you can see or feel, Increased pelvic pressure when you strain, cough, bear down or lift, Problems urinating, including difficulty starting a urine stream, the feeling that you haven't completely emptied your bladder after urinating, feeling a frequent need to urinate or leaking urine (urinary incontinence)"
Anterior vaginal prolapse (cystocele),"A feeling of fullness or pressure in your pelvis and vagina, In some cases, a bulge of tissue in your vagina that you can see or feel, Increased pelvic pressure when you strain, cough, bear down or lift, Problems urinating, including difficulty starting a urine stream, the feeling that you haven't completely emptied your bladder after urinating, feeling a frequent need to urinate or leaking urine (urinary incontinence)"
Anthrax,"A raised, itchy bump resembling an insect bite that quickly develops into a painless sore with a black center, Swelling in the sore and nearby lymph glands, Sometimes, flu-like symptoms including fever and headache"
"Antibiotic-associated colitis, also known asPseudomembranous colitis","Watery diarrhea., Stomach cramps, pain or tenderness., Fever., Pus or mucus in the stool., Nausea., Dehydration."
Antibiotic-associated diarrhea,"Loose stools, More-frequent bowel movements"
Antiphospholipid syndrome,"Blood clots in legs (DVT). Signs of a DVT include pain, swelling and redness. These clots can travel to the lungs (pulmonary embolism)., Repeated miscarriages or stillbirths. Other complications of pregnancy include dangerously high blood pressure (preeclampsia) and premature delivery., Stroke. A stroke can occur in a young person who has antiphospholipid syndrome but no known risk factors for cardiovascular diseases., Transient ischemic attack (TIA). Similar to a stroke, a TIA usually lasts only a few minutes and causes no permanent damage., Rash. Some people develop a red rash with a lacy, net-like pattern."
Antisocial personality disorder,"Ignoring right and wrong., Telling lies to take advantage of others., Not being sensitive to or respectful of others., Using charm or wit to manipulate others for personal gain or pleasure., Having a sense of superiority and being extremely opinionated., Having problems with the law, including criminal behavior., Being hostile, aggressive, violent or threatening to others., Feeling no guilt about harming others., Doing dangerous things with no regard for the safety of self or others., Being irresponsible and failing to fulfill work or financial responsibilities."
